Petr Cech, Harry Potter, 5, World-class goalkeeper!
Petr Cech, Ron Weasley, 5, Best Czech football player after Pavel Nedved
Petr Cech, Hermione Granger, 3, Not played well in European Championship in 2012
Branislav Ivanovic, Ginny Weasley, 4, He is a very solid defender!
Filipe Luís, Luna Lovegood, null, Awesome hairstyle!
Cesc Fàbregas, Neville Longbottom, 4, Hope he can be more loyal to Chelsea than Barcelona and Arsenal
Eden Hazard, Albus Dumbledore, 4, Amazing midfielder and very potential Belgian player
Didier Drogba, Aberforth Dumbledore, 5, Experienced world-class player with handsome appearance
John Obi Mikel, Minerva McGonagall, 4, Very loyal and experienced midfielder
John Terry, Severus Snape, 5, A symbol of loyalty and Chelsea
Steven Gerrard, Alastor Moody, 5, Good player who should have a champion of premier league. What a pity!
Sergio Busquets, null, null, Competent competitor for the next Academy Award
Mario Balotelli, null, null, Must be better if he can focus more on football instead of thinking life## the universe and everything
Alex Manninger, Winston Smith, 5, Great to see that the former Gunner is doing well at Augsburg! :D Poorly treated at Arsenal## he was unbelievable at our club## we failed to see that!
Alex Manninger, Emmanuel Goldstein, 4, Superman-ninger!
Simon Rolfes, Tom Parsons, 5, I love him since he became Leverkusen skipper.
Simon Rolfes, Shirley Yang, null, He's also a follower of the stock market and an economy expert.
Gianluca Gaudino, Phileas Fogg, 4, The Kid is 17##got his own talent and got Pep Guardiola on his side##not only will his talent be flourishing and more aspects to his game be added##he'll be going places and fast.
Gianluca Gaudino, Jean Passepartout, 3, Has a guardiola discovered talent..kinda reminds me of busquets honestly 
Marco Reus, Captain Nemo, 1, I have watched hundreds of his videos and I don't understand what's so great about him. Neymar## Eden hazard## jese Rodriguez and sterling are much better than him and still so many big clubs want to buy him. and he is so admired by many football fans
Marco Reus, Jean Valjean, 4, Man City should buy him in the summer 
Fabian Johnson, Javert, 4, One of our best players. Almost on the same level of importance as the Core 5 to be honest. 
Fabian Johnson, Fantine, 5, He is the kind of Right back most top level teams have. He is quick## solid defender## good vision## and great at pushing up field during a counter. 
Timothy Chandler, Cosette, 5, Ignore the hate! We can understand you just fine! Much love to you and proud to call you an American! 
Timothy Chandler, Marius Pontmercy, 3, Against all predictions and recommendations of surgeons## team docs and physios## Timmy made it into the top draft of the US SOCCER men's national team heading for Brazil. 
Christopher Jullien, Heathcliff, 4, Liiiike
Christopher Jullien, Catherine Earnshaw, 4, New Century Sniper
Maximilian Beister, Bastian Schweinsteiger, 4, Very talented player. Saw his international debut## he looked very nervous. Americans be patient. Remember that he is only 18 years old.
Maximilian Beister, Edgar Linton, 4, I can see it now Green and Zardes being the superstar strikers for the USA in the near future## so much potential in both of them
Hiroshi Kiyotake, Nelly Dean, 4, Very underrated player
Hiroshi Kiyotake, Isabella Linton, 5, He was chosen as Europe's Top Crossers.
Ronny, Hindley Earnshaw, 5, his left leg is a cannon
Ronny, Hareton Earnshaw, 2, how does he have a 96 shot power?? Gerrard has a way harder shot and he's against better goalkeepers!
Martin Braithwaite, Cathy Linton, 5, best 75 rated player on Ultimate Team FIFA 15
Martin Braithwaite, Linton Heathcliff fc .efb, 5, He's gonna be so BEAST
Ricky van Wolfswinkel, Arturia Pendragon, 2, Actually terrible for Norwich but at least he's doing good out on loan at Saint _tienne_
Ricky van Wolfswinkel, Shirou Emiya, 4, Just bought him in Career Mode## class player
Ricky van Wolfswinkel, Kiritsugu Emiya, 4, Norwich have bagged themselves a Dutch super striker!
Ricky van Wolfswinkel, Kirei Kotomine, 1, A good striker?? hahahaha! he is complete crap
David Luiz, Illyasviel von Einzbern, 5, David Luiz is the best defender of the world :3
David Luiz, Irisviel von Einzbern, 4, I have David Luiz from PSG on my Fifa 14.He scored 5 goals.Some by header and some by Counter Attack
David Luiz, Angra Mainyu, 1, A player no one will look at the same after the world cup. He is a defender i dont get why is always bombing up front leaving his team exposed all the time. biggest waste of money every spent on a football player
Theo Walcott, Nyarlathotep, 4, Theos is the one that ALWAYS make timed runs## he IS our defence opener
Theo Walcott, Cthugha, 3, great raw talent but mentally weak
