Sir Chips Keswick, English, Chairperson, Arsenal
Arsène Wenger, French, Manager, Arsenal
Steve Bould, English, Assistant Manager, Arsenal
Randy Lerner, American, Chairperson, Aston Villa
Scott Marshall, Scottish, Caretaker Manager, Aston Villa
Mike Garlick, English, Co-chairperson, Burnley
John Banaszkiewicz, English, Co-chairperson, Burnley
Sean Dyche, English, Manager, Burnley
Ian Woan, English, Assistant Manager, Burnley
Roman Abramovich, Russian, Owner, Chelsea
Bruce Buck, American, Chairperson, Chelsea
José Mourinho, Portuguese, Manager, Chelsea
Steve Holland, English, Assistant Manager, Chelsea
Steve Parish, English, Co-chairperson, Crystal Palace
Martin Long, English, Co-chairperson, Crystal Palace
Alan Pardew, English, Manager, Crystal Palace
Keith Millen, English, Assistant Manager, Crystal Palace
Bill Kenwright, English, Chairperson, Everton
Roberto Martínez, Spanish, Manager, Everton
Graeme Jones, English, Assistant Manager, Everton
Assem Allam, English, Chairperson, Hull City
Steve Bruce, English, Manager, Hull City
Mike Phelan, English, Assistant Manager, Hull City
Vichai Srivaddhanaprabha, Thai, Chairperson, Leicester City
Nigel Pearson, English, Manager, Leicester City
Craig Shakespeare, English, Assistant Manager, Leicester City
Steve Walsh, English, Assistant Manager, Leicester City
Tom Werner, American, Chairperson, Liverpool
Brendan Rodgers, Northern Irish, Manager, Liverpool
Colin Pascoe, Welsh, Assistant Manager, Liverpool
Khaldoon Al Mubarak, Emirati, Chairperson, Manchester City
Manuel Pellegrini, Chilean, Manager, Manchester City
Brian Kidd, English, Assistant Manager, Manchester City
Rubén Cousillas, Argentine, Assistant Manager, Manchester City
Joel Glazer, American, Co-chairperson, Manchester United
Avram Glazer, American, Co-chairperson, Manchester United
Louis van Gaal, Dutch, Manager, Manchester United
Ryan Giggs, Welsh, Assistant Manager, Manchester United
Mike Ashley, English, Chairperson, Newcastle United
John Carver, English, Manager, Newcastle United
Steve Stone, English, Assistant Manager, Newcastle United
Tony Fernandes, Malaysian, Chairperson, Queens Park Rangers
Chris Ramsey, English, Manager, Queens Park Rangers
Kevin Hitchcock, English, Assistant Manager, Queens Park Rangers
Ralph Krueger, German, Chairperson, Southampton
Ronald Koeman, Dutch, Manager, Southampton
Erwin Koeman, Dutch, Assistant Manager, Southampton
Peter Coates, English, Chairperson, Stoke City
Mark Hughes, Welsh, Manager, Stoke City
Mark Bowen, Welsh, Assistant Manager, Stoke City
Ellis Short, American, Chairperson, Sunderland
Gus Poyet, Uruguayan, Manager, Sunderland
Mauricio Taricco, Argentine, Assistant Manager, Sunderland
Huw Jenkins, Welsh, Chairperson, Swansea City
Garry Monk, English, Manager, Swansea City
Josep Clotet, Spanish, Assistant Manager, Swansea City
Daniel Levy, English, Chairperson, Tottenham Hotspur
Mauricio Pochettino, Argentine, Manager, Tottenham Hotspur
Steffen Freund, German, Assistant Manager, Tottenham Hotspur
Jeremy Peace, English, Chairperson, West Bromwich Albion
Tony Pulis, Welsh, Manager, West Bromwich Albion
Dave Kemp, English, Assistant Manager, West Bromwich Albion
David Sullivan, Welsh, Co-chairperson, West Ham United
David Gold, English, Co-chairperson, West Ham United
Sam Allardyce, English, Manager, West Ham United
Neil McDonald, English, Assistant Manager, West Ham United
Carson Yeung, Chinese, Chairperson, Birmingham City
Gary Rowett, English, Manager, Birmingham City
Kevin Summerfield, English, Assistant Manager, Birmingham City
Derek Shaw, English, Managing Director, Blackburn Rovers
Gary Bowyer, English, Manager, Blackburn Rovers
Terry McPhillips, English, Assistant Manager, Blackburn Rovers
Karl Oyston, English, Chairperson, Blackpool
Lee Clark, English, Manager, Blackpool
Phil Gartside, English, Chairperson, Bolton Wanderers
Neil Lennon, Northern Irish, Manager, Bolton Wanderers
Johan Mjallby, Swedish, Assistant Manager, Bolton Wanderers
Jeff Mostyn, English, Chairperson, Bournemouth
Eddie Howe, English, Manager, Bournemouth
Jason Tindall, English, Assistant Manager, Bournemouth
Cliff Crown, English, Chairperson, Brentford
Mark Warburton, English, Manager, Brentford
David Weir, Scottish, Assistant Manager, Brentford
Tony Bloom, English, Chairperson, Brighton
Chris Hughton, English, Manager, Brighton
Colin Calderwood, Scottish, Assistant Manager, Brighton
Mehmet Dalman, Cypriot, Chairperson, Cardiff City
Russell Slade, English, Manager, Cardiff City
Scott Young, Welsh, Assistant Manager, Cardiff City
Roland Duchâtelet, Belgian, Chairperson, Charlton Athletic
Damian Matthew, English, Manager, Charlton Athletic
Andrew Appleby, American, Chairperson, Derby County
Steve McClaren, English, Manager, Derby County
Shahid Khan, American, Chairperson, Fulham
Kit Symons, Welsh, Manager, Fulham
Dean Hoyle, English, Chairperson, Huddersfield Town
Chris Powell, English, Manager, Huddersfield Town
Alex Dyer, English, Assistant Manager, Huddersfield Town
Marcus Evans, English, Chairperson, Ipswich Town
Mick McCarthy, English, Manager, Ipswich Town
Terry Connor, English, Assistant Manager, Ipswich Town
Massimo Cellino, Italian, Chairperson, Leeds United
Neil Redfearn, English, Manager, Leeds United
Steve Thompson, English, Assistant Manager, Leeds United
Steve Gibson, English, Chairperson, Middlesbrough
Aitor Karanka, Spanish, Manager, Middlesbrough
Steve Agnew, English, Assistant Manager, Middlesbrough
John Berylson, American, Chairperson, Millwall
Ian Holloway, English, Manager, Millwall
Nigel Gibbs, English, Assistant Manager, Millwall
Alan Bowkett, English, Chairperson, Norwich City
Alex Neil, Scottish, Manager, Norwich City
Gary Holt, Scottish, Assistant Manager, Norwich City
Fawaz Al-Hasawi, Kuwaiti, Chairperson, Nottingham Forest
Dougie Freedman, Scottish, Manager, Nottingham Forest
Lennie Lawrence, English, Assistant Manager, Nottingham Forest
Sir John Madejski, English, Chairperson, Reading
Steve Clarke, Scottish, Manager, Reading
Kevin Keen, English, Assistant Manager, Reading
Tony Stewart, English, Chairperson, Rotherham United
Steve Evans, Scottish, Manager, Rotherham United
Paul Raynor, English, Assistant Manager, Rotherham United
Dejphon Chansiri, Thai, Chairperson, Sheffield Wednesday
Stuart Gray, English, Manager, Sheffield Wednesday
John Deehan, English, Assistant Manager, Sheffield Wednesday
Raffaele Riva, Italian, Chairperson, Watford
Slaviša Jokanović, Serbian, Manager, Watford
Dave Whelan, English, Chairperson, Wigan Athletic
Malky Mackay, Scottish, Manager, Wigan Athletic
Graham Barrow, English, Assistant Manager, Wigan Athletic
Steve Morgan, English, Chairperson, Wolverhampton Wanderers
Kenny Jackett, English, Manager, Wolverhampton Wanderers
Joe Gallen, English, Assistant Manager, Wolverhampton Wanderers
Alfonso García, Spanish, Chairperson, Almería
Juan Ignacio Martínez, Spanish, Manager, Almería
Josu Urrutia, Spanish, Chairperson, Athletic Bilbao
Ernesto Valverde, Spanish, Manager, Athletic Bilbao
Enrique Cerezo, Spanish, Chairperson, Atlético Madrid
Diego Simeone, Argentine, Manager, Atlético Madrid
Germán Burgos, Argentine, Assistant Manager, Atlético Madrid
Josep Maria Bartomeu, Spanish, Chairperson, Barcelona
Luis Enrique, Spanish, Manager, Barcelona
Juan Carlos Unzué, Spanish, Assistant Manager, Barcelona
Carlos Mouriño, Mexican, Chairperson, Celta
Eduardo Berizzo, Argentine, Manager, Celta
Ernesto Marcucci, Argentine, Assistant Manager, Celta
Carlos González, Spanish, Chairperson, Córdoba
Miroslav Đukić, Serbian, Manager, Córdoba
Tino Fernández, Spanish, Chairperson, Deportivo
Víctor Fernández, Spanish, Manager, Deportivo
Alex Aranzábal, Spanish, Chairperson, Eibar
Gaizka Garitano, Spanish, Manager, Eibar
José Sepulcre, Spanish, Chairperson, Elche
Fran Escribá, Spanish, Manager, Elche
Joan Collet i Diví, Spanish, Chairperson, Espanyol
Sergio González, Spanish, Manager, Espanyol
Ángel Torres Sánchez, Spanish, Chairperson, Getafe
Quique Sánchez Flores, Spanish, Manager, Getafe
Ángel López Pérez, Spanish, Assistant Manager, Getafe
Giampaolo Pozzo, Italian, Chairperson, Granada
Abel Resino, Spanish, Manager, Granada
Quico Catalán, Spanish, Chairperson, Levante
Lucas Alcaraz, Spanish, Manager, Levante
Abdullah Al Thani, Qatari, Chairperson, Málaga
Javi Gracia, Spanish, Manager, Málaga
Marcelo Romero, Uruguayan, Assistant Manager, Málaga
Raúl Martín Presa, Spanish, Chairperson, Rayo Vallecano
Paco Jémez, Spanish, Manager, Rayo Vallecano
Florentino Pérez, Spanish, Chairperson, Real Madrid
Carlo Ancelotti, Italian, Manager, Real Madrid
Paul Clement, English, Assistant Manager, Real Madrid
Jokin Aperribay, Spanish, Chairperson, Real Sociedad
David Moyes, Scottish, Manager, Real Sociedad
José Castro Carmona, Spanish, Chairperson, Sevilla
Unai Emery, Spanish, Manager, Sevilla
Amadeo Salvo, Spanish, Chairperson, Valencia
Nuno Espírito Santo, Portuguese, Manager, Valencia
Fernando Roig Alfonso, Spanish, Chairperson, Villarreal
Marcelino García Toral, Spanish, Manager, Villarreal
Antonio Percassi, Italian, Chairperson, Atalanta
Stefano Colantuono, Italian, Manager, Atalanta
Tommaso Giulini, Italian, Chairperson, Cagliari
Gianfranco Zola, Italian, Manager, Cagliari
Giorgio Lugaresi, Italian, Chairperson, Cesena
Domenico Di Carlo, Italian, Manager, Cesena
Luca Campedelli, Italian, Chairperson, Chievo
Rolando Maran, Italian, Manager, Chievo
Fabrizio Corsi, Italian, Chairperson, Empoli
Maurizio Sarri, Italian, Manager, Empoli
Mario Cognigni, Italian, Chairperson, Fiorentina
Vincenzo Montella, Italian, Manager, Fiorentina
Enrico Preziosi, Italian, Chairperson, Genoa
Gian Piero Gasperini, Italian, Manager, Genoa
Erick Thohir, Indonesian, Chairperson, Internazionale
Roberto Mancini, Italian, Manager, Internazionale
Giulio Nuciari, Italian, Assistant Manager, Internazionale
Andrea Agnelli, Italian, Chairperson, Juventus
Massimiliano Allegri, Italian, Manager, Juventus
Marco Landucci, Italian, Assistant Manager, Juventus
Claudio Lotito, Italian, Chairperson, Lazio
Stefano Pioli, Italian, Manager, Lazio
Silvio Berlusconi, Italian, Chairperson, Milan
Filippo Inzaghi, Italian, Manager, Milan
Mauro Tassotti, Italian, Assistant Manager, Milan
Fulvio Fiorin, Italian, Assistant Manager, Milan
Aurelio De Laurentiis, Italian, Chairperson, Napoli
Rafael Benítez, Spanish, Manager, Napoli
Maurizio Zamparini, Italian, Chairperson, Palermo
Giuseppe Iachini, Italian, Manager, Palermo
Giampietro Manenti, Italian, Chairperson, Parma
Roberto Donadoni, Italian, Manager, Parma
Luca Gotti, Italian, Assistant Manager, Parma
James Pallotta, American, Chairperson, Roma
Rudi García, French, Manager, Roma
Massimo Ferrero, Italian, Chairperson, Sampdoria
Siniša Mihajlović, Serbian, Manager, Sampdoria
Carlo Rossi, Italian, Chairperson, Sassuolo
Eusebio Di Francesco, Italian, Manager, Sassuolo
Urbano Cairo, Italian, Chairperson, Torino
Giampiero Ventura, Italian, Manager, Torino
Salvatore Sullo, Italian, Assistant Manager, Torino
Franco Soldati, Italian, Chairperson, Udinese
Andrea Stramaccioni, Italian, Manager, Udinese
Maurizio Setti, Italian, Chairperson, Verona
Andrea Mandorlini, Italian, Manager, Verona
Klaus Hofmann, German, Chairperson, Augsburg
Markus Weinzierl, German, Manager, Augsburg
Michael Schade, German, Chairperson, Leverkusen
Roger Schmidt, German, Manager, Leverkusen
Karl Hopfner, German, Chairperson, Bayern Munich
Pep Guardiola, Spanish, Manager, Bayern Munich
Hermann Gerland, German, Assistant Manager, Bayern Munich
Domènec Torrent, Spanish, Assistant Manager, Bayern Munich
Reinhard Rauball, German, Chairperson, Dortmund
Jürgen Klopp, German, Manager, Dortmund
Željko Buvač, Bosnian, Assistant Manager, Dortmund
Peter Krawietz, German, Assistant Manager, Dortmund
Rolf Königs, German, Chairperson, Mönchengladbach
Lucien Favre, Swiss, Manager, Mönchengladbach
Frank Geideck, German, Assistant Manager, Mönchengladbach
Manfred Stefes, German, Assistant Manager, Mönchengladbach
Heribert Bruchhagen, German, Chairperson, Frankfurt
Thomas Schaaf, German, Manager, Frankfurt
Wolfgang Rolff, German, Assistant Manager, Frankfurt
Matthias Hönerbach, German, Assistant Manager, Frankfurt
Fritz Keller, German, Chairperson, Freiburg
Christian Streich, German, Manager, Freiburg
Carl-Edgar Jarchow, German, Chairperson, Hamburger
Josef Zinnbauer, German, Manager, Hamburger
Patrick Rahmen, Swiss, Assistant Manager, Hamburger
Martin Kind, German, Chairperson, Hannover 96
Tayfun Korkut, Turkish, Manager, Hannover 96
Werner Gegenbauer, German, Chairperson, Hertha Berlin
Pál Dárdai, Hungarian, Manager, Hertha Berlin
Rainer Widmayer, German, Assistant Manager, Hertha Berlin
Jochen A. Rotthaus, German, Co-chairperson, Hoffenheim
Frank Briel, German, Co-chairperson, Hoffenheim
Markus Gisdol, German, Manager, Hoffenheim
Werner Spinner, German, Chairperson, Köln
Peter Stöger, Austrian, Manager, Köln
Harald Strutz, German, Chairperson, Mainz
Kasper Hjulmand, Danish, Manager, Mainz
Wilfried Finke, German, Chairperson, Paderborn
André Breitenreiter, German, Manager, Paderborn
Clemens Tönnies, German, Chairperson, Schalke 04
Roberto Di Matteo, Italian, Manager, Schalke 04
Attilio Lombardo, Italian, Assistant Manager, Schalke 04
Sven Hübscher, German, Assistant Manager, Schalke 04
Bernd Wahler, German, Chairperson, Stuttgart
Huub Stevens, Dutch, Manager, Stuttgart
Adrie Koster, Dutch, Assistant Manager, Stuttgart
Armin Reutershahn, German, Assistant Manager, Stuttgart
Klaus-Dieter Fischer, German, Chairperson, Werder Bremen
Viktor Skrypnyk, Ukrainian, Manager, Werder Bremen
Torsten Frings, German, Assistant Manager, Werder Bremen
Francisco Javier García Sanz, Spanish, Chairperson, Wolfsburg
Dieter Hecking, German, Manager, Wolfsburg
Dirk Bremser, German, Assistant Manager, Wolfsburg
Andries Jonker, Dutch, Assistant Manager, Wolfsburg
Dmitry Rybolovlev, Russian, Chairperson, Monaco
Leonardo Jardim, Portuguese, Manager, Monaco
Pierre-Marie Geronimi, French, Chairperson, Bastia
Ghislain Printant, French, Manager, Bastia
Jean-Louis Triaud, French, Chairperson, Bordeaux
Willy Sagnol, French, Manager, Bordeaux
Franck Mantaux, French, Assistant Manager, Bordeaux
Jean-François Fortin, French, Chairperson, Caen
Patrice Garande, French, Manager, Caen
Patrick Trotignon, French, Chairperson, Evian
Pascal Dupraz, French, Manager, Evian
Bertrand Desplat, French, Chairperson, Guingamp
Jocelyn Gourvennec, French, Manager, Guingamp
Gervais Martel, French, Chairperson, Lens
Antoine Kombouaré, French, Manager, Lens
Michel Seydoux, French, Chairperson, Lille
René Girard, French, Manager, Lille
Loïc Fery, French, Chairperson, Lorient
Sylvain Ripoll, French, Manager, Lorient
Eric Garcin, French, Assistant Manager, Lorient
Jean-Michel Aulas, French, Chairperson, Lyon
Hubert Fournier, French, Manager, Lyon
Michel Audrain, French, Assistant Manager, Lyon
Bruno Génésio, French, Assistant Manager, Lyon
Gérald Baticle, French, Assistant Manager, Lyon
Margarita Louis-Dreyfus, French, Chairperson, Marseille
Marcelo Bielsa, Argentine, Manager, Marseille
Bernard Serin, French, Chairperson, Metz
Albert Cartier, French, Manager, Metz
Laurent Nicollin, French, Chairperson, Montpellier
Rolland Courbis, French, Manager, Montpellier
Pascal Baills, French, Assistant Manager, Montpellier
Waldemar Kita, Polish, Chairperson, Nantes
Michel Der Zakarian, Armenian, Manager, Nantes
Jean-Pierre Rivère, French, Chairperson, Nice
Claude Puel, French, Manager, Nice
Nasser Al-Khelaifi, Qatari, Chairperson, Paris Saint-Germain
Laurent Blanc, French, Manager, Paris Saint-Germain
Jean-Louis Gasset, French, Assistant Manager, Paris Saint-Germain
Jean-Pierre Caillot, French, Chairperson, Reims
Jean-Luc Vasseur, French, Manager, Reims
René Ruello, French, Chairperson, Rennes
Philippe Montanier, French, Manager, Rennes
Michel Troin, French, Assistant Manager, Rennes
Laurent Huard, French, Assistant Manager, Rennes
Bernard Caiazzo, French, Co-chairperson, Saint-Étienne
Roland Romeyer, French, Co-chairperson, Saint-Étienne
Christophe Galtier, French, Manager, Saint-Étienne
Alain Blachon, French, Assistant Manager, Saint-Étienne
Romain Revelli, French, Assistant Manager, Saint-Étienne
Olivier Sadran, French, Chairperson, Toulouse
Alain Casanova, French, Manager, Toulouse
